"","GDEV","df(mu)","df(sigma)","df(nu)","df(tau)","Total df","AIC","AICc","BIC"
"tau_2023_2_3",-2261.2,5,5,4,0,14,-2128.15,-2123.21,-1821.24
"model_2023.gamlss.final.5.all",-2260.44,5,5,5,0,15,-2126.75,-2121.04,-1818.38
"model_2023.gamlss.pb.full_4_nu_up",-2260.44,5,5,5,0,15,-2126.6,-2120.88,-1817.87
"tau_2023_2_4",-2237.23,5,5,3,0,13,-2108.96,-2104.73,-1813.08
"model_2023.gamlss.pb.all.sigma_2.all",-2086.15,5,5,1,0,11,-2002.11,-1999.11,-1808.25
"model_2023.gamlss.pb.full_30_sigma_up",-2086.15,5,5,1,0,11,-2002.02,-1999.02,-1807.95
"model_2023.gamlss.pb.all.sigma_2",-2086.15,5,5,1,0,11,-2002.02,-1999.02,-1807.95
"model_2023.gamlss.pb.full_3_mu",-1995.02,5,1,1,0,7,-1948.5,-1947.28,-1841.18
"model_2023.gamlss.pb.all.mu_2",-1995.02,5,1,1,0,7,-1948.5,-1947.28,-1841.18
"model_2023.gamlss.pb.all.mu_2.all",-1995.02,5,1,1,0,7,-1948.5,-1947.28,-1841.18
"model_2023.gamlss.ps.full_0_mu",-1963.21,5,1,1,0,7,-1916.14,-1914.92,-1807.57
"model_2023.gamlss.ps.full_3_mu",-1963.08,5,1,1,0,7,-1914.18,-1912.96,-1801.39
